Taxon,ID Number,Rank,Trophic Mode,Guild,Confidence Ranking,Growth Form,Trait,Notes,Source/Citation
Candida mesorugosa,800716,Species,Pathotroph,Animal Pathogen,Probable,Dimorphic Yeast,NULL,Likely opportunistic human pathogen (Irinyi et al. 2015),"Irinyi L, et al. 2015. Medical Mycology 53:313-337 [Link]"
Candida metapsilosis,500210,Species,Pathotroph,Animal Pathogen,Probable,Dimorphic Yeast,NULL,NULL,"Laszlo I, Meyer W. 2015. Microbiology Australia 36:45-48 [Link]; Laszlo I, et al. 2015. Medical Mycology 53:313-337 [Link]"
Candida mucifera,125429,Species,Pathotroph,Animal Pathogen,Probable,Dimorphic Yeast,NULL,Likely opportunistic human pathogen (Irinyi et al. 2015),"Irinyi L, et al. 2015. Medical Mycology 53:313-337 [Link]"
Candida orthopsilosis,500209,Species,Pathotroph,Animal Pathogen,Probable,Dimorphic Yeast,NULL,NULL,"Laszlo I, Meyer W. 2015. Microbiology Australia 36:45-48 [Link]; Laszlo I, et al. 2015. Medical Mycology 53:313-337 [Link]"
Candida parapsilosis,253819,Species,Pathotroph,Animal Pathogen,Highly Probable,Dimorphic Yeast,NULL,Second most commonly isolated Candida species from blood cultures (Trofa et al. 2008),"Trofa D, et al. 2008. Clinical Microbiology Reviews 21:606-625 [Link]"
Candida pararugosa,310318,Species,Pathotroph,Animal Pathogen,Probable,Dimorphic Yeast,NULL,NULL,"Laszlo I, Meyer W. 2015. Microbiology Australia 36:45-48 [Link]; Laszlo I, et al. 2015. Medical Mycology 53:313-337 [Link]"
Candida pelliculosa,253866,Species,Pathotroph,Animal Pathogen,Probable,Dimorphic Yeast,NULL,Opportunistic human pathogen; Causing fungemia in a patient with sickle cell disease (Chan et al. 2013),"Chan, et al. 2013. Mycopathologia 176:273-277 [Link]; https://www.cdc.gov [Link]"
Candida quercitrusa,443488,Species,Pathotroph,Animal Pathogen,Probable,Dimorphic Yeast,NULL,Likely opportunistic human pathogen (Irinyi et al. 2015),"Irinyi L, et al. 2015. Medical Mycology 53:313-337 [Link]"
Candida railenensis,105982,Species,Pathotroph,Animal Pathogen,Probable,Dimorphic Yeast,NULL,Likely opportunistic human pathogen (Irinyi et al. 2015),"Irinyi L, et al. 2015. Medical Mycology 53:313-337 [Link]"
Candida rhagii,107788,Species,Pathotroph,Animal Pathogen,Probable,Dimorphic Yeast,NULL,Likely opportunistic human pathogen (Irinyi et al. 2015),"Irinyi L, et al. 2015. Medical Mycology 53:313-337 [Link]"
