Taxon,ID Number,Rank,Trophic Mode,Guild,Confidence Ranking,Growth Form,Trait,Notes,Source/Citation
Botryostroma,636,Genus,Pathotroph,Plant Pathogen,Probable,NULL,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:e1256688 [Link]"
Botryotinia,638,Genus,Pathotroph,Plant Pathogen,Probable,NULL,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:e1256688 [Link]"
Botryotinia allii,293818,Species,Pathotroph,Plant Pathogen,Probable,NULL,NULL,NULL,The American Phytopathological Society Common Names of Plant Diseases [Link]
Botryotinia fuckeliana,284645,Species,Pathotroph,Plant Pathogen,Probable,NULL,NULL,NULL,"James TY, et al. 2006. Nature 443:818-822 [Link]; The American Phytopathological Society Common Names of Plant Diseases [Link]"
Botryotinia porri,284647,Species,Pathotroph,Plant Pathogen,Probable,NULL,NULL,NULL,The American Phytopathological Society Common Names of Plant Diseases [Link]
Botryotinia ricini,282396,Species,Pathotroph,Plant Pathogen,Probable,NULL,NULL,NULL,The American Phytopathological Society Common Names of Plant Diseases [Link]
Botryotinia squamosa,293823,Species,Pathotroph,Plant Pathogen,Probable,NULL,NULL,NULL,The American Phytopathological Society Common Names of Plant Diseases [Link]
Botrytis,7435,Genus,Pathotroph,Plant Pathogen,Probable,Microfungus,NULL,NULL,The American Phytopathological Society Common Names of Plant Diseases [Link]
Botrytis aclada,234362,Species,Pathotroph,Plant Pathogen,Probable,Microfungus,NULL,NULL,The American Phytopathological Society Common Names of Plant Diseases [Link]
Botrytis allii,237131,Species,Pathotroph,Plant Pathogen,Probable,Microfungus,NULL,NULL,The American Phytopathological Society Common Names of Plant Diseases [Link]
Botrytis anthophila,245535,Species,Pathotroph,Plant Pathogen,Probable,Microfungus,NULL,NULL,The American Phytopathological Society Common Names of Plant Diseases [Link]
Botrytis byssoidea,259226,Species,Pathotroph,Plant Pathogen,Probable,Microfungus,NULL,NULL,The American Phytopathological Society Common Names of Plant Diseases [Link]
Botrytis cinerea,217312,Species,Pathotroph,Plant Pathogen,Probable,Microfungus,NULL,NULL,The American Phytopathological Society Common Names of Plant Diseases [Link]
